boroct2020,Neighborhood,Borough,Price,convenience_score,livability_score,affordability_score,combined_score,total_crimes,noise_complaint_count,total_mta_ridership,total_citibike_trips,total_businesses
2022401,Mott Haven/Hunts Point,Bronx,2450.0,1.5105371413157096,95.94816949265588,81.6849816849817,48.729353316985794,8.0,488,67197.0,0.0,0.0
2022403,Mott Haven/Hunts Point,Bronx,2450.0,0.0,94.57885743037454,81.6849816849817,47.28942871518727,25.0,244,0.0,0.0,0.0
2022404,Mott Haven/Hunts Point,Bronx,2450.0,0.0,97.49475864480047,81.6849816849817,48.747379322400235,6.0,272,0.0,0.0,0.0
2022500,Mott Haven/Hunts Point,Bronx,3249.0,2.5522462408708,73.66765502079869,62.17338217338217,38.109950630834746,86.0,2194,44974.0,499.0,0.0
2022701,Mott Haven/Hunts Point,Bronx,2200.0,0.8926852911542902,85.31333977577518,87.78998778998779,43.103012533464735,31.0,1709,32017.0,56.0,0.0
2022702,Mott Haven/Hunts Point,Bronx,2512.5,1.016751954033314,93.87053696909864,80.15873015873015,47.443644461565974,20.0,512,39185.0,44.0,0.0
2022703,Mott Haven/Hunts Point,Bronx,3249.0,0.0,94.71208551516997,62.17338217338217,47.35604275758499,12.0,592,0.0,0.0,0.0
2022800,Mott Haven/Hunts Point,Bronx,2450.0,0.0,94.01149744995838,81.6849816849817,47.00574872497919,15.0,630,0.0,0.0,0.0
2022901,Mott Haven/Hunts Point,Bronx,3249.0,0.44168519891277486,79.48992937867084,62.17338217338217,39.96580728879181,44.0,2366,0.0,143.0,0.0
2022902,Mott Haven/Hunts Point,Bronx,3249.0,0.0,67.0523153395713,62.17338217338217,33.52615766978565,28.0,5020,0.0,0.0,0.0
2023000,Mott Haven/Hunts Point,Bronx,2450.0,0.0,95.45586139441853,81.6849816849817,47.72793069720927,20.0,232,0.0,0.0,0.0
2023100,Mott Haven/Hunts Point,Bronx,3249.0,0.5497899678774401,88.64373040103284,62.17338217338217,44.59676018445514,22.0,1378,0.0,178.0,0.0
2023200,Mott Haven/Hunts Point,Bronx,2450.0,0.0,96.0369637849016,81.6849816849817,48.0184818924508,12.0,358,0.0,0.0,0.0
2023301,Mott Haven/Hunts Point,Bronx,2200.0,0.2965159377316531,86.44122517800085,87.78998778998779,43.36887055786625,41.0,1224,0.0,96.0,0.0
2023302,Mott Haven/Hunts Point,Bronx,3249.0,0.0,83.23988494487827,62.17338217338217,41.619942472439135,40.0,1818,0.0,0.0,0.0
2023501,Mott Haven/Hunts Point,Bronx,2200.0,2.0179739853931133,81.36970784369126,87.78998778998779,41.693840914542186,25.0,2577,60229.0,215.0,0.0
2023502,Mott Haven/Hunts Point,Bronx,3249.0,0.24091919940696813,84.15203283226674,62.17338217338217,42.19647601583686,45.0,1514,0.0,78.0,0.0
2023600,Mott Haven/Hunts Point,Bronx,2450.0,0.0,96.91217207403018,81.6849816849817,48.45608603701509,11.0,232,0.0,0.0,0.0
2023702,Mott Haven/Hunts Point,Bronx,2100.0,1.7491781019358978,92.5986860790119,90.23199023199024,47.1739320904739,28.0,508,64485.0,97.0,0.0
2023703,Mott Haven/Hunts Point,Bronx,2100.0,0.704225352112676,85.90932061555736,90.23199023199024,43.30677298383502,34.0,1518,0.0,228.0,0.0
2023704,Mott Haven/Hunts Point,Bronx,2200.0,0.25636273783049174,87.59866592347713,87.78998778998779,43.92751433065381,23.0,1534,0.0,83.0,0.0
2023800,Mott Haven/Hunts Point,Bronx,2450.0,0.0,95.89034143109427,81.6849816849817,47.945170715547135,17.0,241,0.0,0.0,0.0
2023900,Mott Haven/Hunts Point,Bronx,2200.0,1.2152779827751237,64.6033079263656,87.78998778998779,32.90929295457036,79.0,3995,51589.0,18.0,0.0
2024100,Mott Haven/Hunts Point,Bronx,2200.0,0.6424511984185817,81.971002415366,87.78998778998779,41.30672680689229,54.0,1642,0.0,208.0,0.0
